	input	filtered	denoised	merged	non-chimeric
ITSJ42-739_CTCCAG-JRDRM_L001_R1.fastq.gz	38765	14718	14712	13766	10784
ITSJ42-742_TGAGCA-JRDRM_L001_R1.fastq.gz	15206	5730	5729	5457	4471
ITSJ42-743_GTGGGG-JRDRM_L001_R1.fastq.gz	17011	7713	7712	6865	4124
ITSJ42-744_GAGCTT-JRDRM_L001_R1.fastq.gz	94836	61677	61430	58524	44353
ITSJ42-745_ATGCTT-JRDRM_L001_R1.fastq.gz	33318	22101	22080	20888	15283
ITSJ42-746_GGGGTG-JRDRM_L001_R1.fastq.gz	8	2	2	2	2
ITSJ42-747_CACCCA-JRDRM_L001_R1.fastq.gz	10	3	2	1	1
ITSJ42-748_GTTACC-JRDRM_L001_R1.fastq.gz	14	5	5	4	3
ITSJ42-749_TGCCTT-JRDRM_L001_R1.fastq.gz	18906	7686	7675	6945	4469
ITSJ42-750_TCATCA-JRDRM_L001_R1.fastq.gz	12	2	2	2	2
ITSJ42-752_TTAAAT-JRDRM_L001_R1.fastq.gz	61107	27806	27711	24624	14169
ITSJ42-753_CATGTT-JRDRM_L001_R1.fastq.gz	17687	7353	7349	6865	5121
ITSJ42-754_CTCTAC-JRDRM_L001_R1.fastq.gz	12	1	1	1	1
ITSJ42-755_AATATG-JRDRM_L001_R1.fastq.gz	5	1	1	1	1
ITSL3-646_TGCACG-JRDRM_L001_R1.fastq.gz	17782	6800	6792	5439	3528
ITSL3-710_GGCCTC-JRDRM_L001_R1.fastq.gz	15215	5321	5318	4598	3486
ITSL3-717_CCCGTT-JRDRM_L001_R1.fastq.gz	8	0	0	0	0
ITSM1_ACCCCC-JRDRM_L001_R1.fastq.gz	27920	6823	6812	6152	2583
ITSM1-1_ATTACA-JRDRM_L001_R1.fastq.gz	15259	4123	4116	3715	1491
ITSM2_ACCAGG-JRDRM_L001_R1.fastq.gz	13079	3640	3639	3180	1435
ITSM2-1_AACCGA-JRDRM_L001_R1.fastq.gz	17107	4870	4870	4311	1777
ITSM3_GGATCA-JRDRM_L001_R1.fastq.gz	45115	12578	12574	11820	6260
ITSM3-1_TCTATG-JRDRM_L001_R1.fastq.gz	12418	3173	3171	2994	1550
ITSM4_AAAGCG-JRDRM_L001_R1.fastq.gz	42451	11729	11704	10526	5799
ITSM4-1_GCATAC-JRDRM_L001_R1.fastq.gz	12476	2792	2769	2489	1396
ITSM5_AGGCGC-JRDRM_L001_R1.fastq.gz	13837	3383	3382	2830	2238
ITSM5-1_GTAGAA-JRDRM_L001_R1.fastq.gz	14389	3949	3947	3344	2638
ITSMeq-ITS_GGACTT-JG62T_L001_R1.fastq.gz	188898	176035	175325	167805	95165
ITSMS10-ITS_GGCCAA-JG62T_L001_R1.fastq.gz	186409	171119	170754	163870	90085
ITSPool-646_GTGTTT-JRDRM_L001_R1.fastq.gz	14178	4658	4655	3217	2871
ITSPool-710_CGTTGG-JRDRM_L001_R1.fastq.gz	13337	4824	4822	4313	3220
ITSPool-717_CAGCGT-JRDRM_L001_R1.fastq.gz	53254	19629	19450	18190	14014
ITSPool-726_GCCTAA-JRDRM_L001_R1.fastq.gz	17050	4428	4423	3146	2880
ITSPool-729_TCAGCG-JRDRM_L001_R1.fastq.gz	15838	6371	6368	5772	3940
ITSPool-733_TGTCGT-JRDRM_L001_R1.fastq.gz	24496	7076	7050	6544	2515
ITSPool-734_GTGTAG-JRDRM_L001_R1.fastq.gz	12150	4451	4450	4085	1935
ITSPool-748_GACTTT-JRDRM_L001_R1.fastq.gz	16349	6076	6073	5864	4938
ITSPool-755_ACAGAC-JRDRM_L001_R1.fastq.gz	34006	10677	10669	10173	5081
